"";"sentimentTerm";"score"
"649";"detailliert";0,004
"650";"dezimieren";-0,0048
"651";"dezimierung";-0,0048
"652";"dieb";-0,1962
"653";"diebstahl";-0,3505
"654";"dienlich";0,004
"655";"diffamieren";-0,0048
"656";"diffamierung";-0,4591
"657";"diffizil";-0,0048
"658";"diffus";-0,331
"659";"diktator";-0,0048
"660";"diktatorisch";-0,0048
"661";"dilemma";-0,3403
"662";"dilettantisch";-0,0048
"663";"diplomatisch";0,004
"664";"diskreditieren";-0,323
"665";"diskret";0,004
"666";"diskretion";0,004
"667";"diskriminierung";-0,0048
"668";"dissens";-0,0048
"669";"distanziert";-0,0048
"670";"disziplin";0,0611
"671";"diszipliniert";0,004
"672";"disziplinlos";-0,0048
"673";"dominieren";-0,0048
"674";"dominierung";-0,0048
"675";"doof";-0,1562
"676";"doppeldeutigkeit";-0,0048
"677";"doppelspiel";-0,0048
"678";"dramatisch";-0,3656
"679";"drängelnd";-0,0048
"680";"drängen";-0,3516
"681";"drastisch";-0,351
"682";"dreck";-0,0048
"683";"dreckig";-0,016
"684";"dreist";-0,4457
"685";"drift";-0,0048
"686";"driften";-0,0048
"687";"drohen";-0,3503
"688";"drohung";-0,0048
"689";"drosseln";-0,0048
"690";"drosselung";-0,3178
"691";"duft";0,2149
"692";"dufte";0,1958
"693";"duften";0,2132
"694";"dumm";-0,5901
"695";"dummheit";-0,4877
"696";"dummkopf";-0,0048
"697";"dunkel";-0,0214
"698";"dunkelheit";-0,3547
"699";"durchdacht";0,2131
"700";"durcheinander";-0,0048
"701";"durchfallen";-0,1801
"702";"durchhalten";0,004
"703";"durchschlagend";0,004
"704";"dürr";-0,0048
"705";"dürre";-0,0048
"706";"dussel";-0,3094
"707";"dusselig";-0,0409
"708";"düster";-0,0187
"709";"düsternis";-0,0048
"710";"dynamik";0,004
"711";"dynamisch";0,004
"712";"echtheit";0,004
"713";"edel";0,2235
"714";"effektiv";0,0971
"715";"effektvoll";0,004
"716";"effizient";0,004
"717";"effizienz";0,004
